,address,city,state,zip
144,1001  LAWSONS RIDGE DR,NASHVILLE,TN,37218
145,4044  MAGNOLIA FARMS DR,HERMITAGE,TN,37076
146,1932B  GRACE POINT LN,NOLENSVILLE,TN,37135
147,628  WALLACE CT,NASHVILLE,TN,37211
148,2525  VISTA LN,NASHVILLE,TN,37207
149,1510B2  10TH AVE N,NASHVILLE,TN,37208
150,3  BURKITT COMMONS AVE  305,NOLENSVILLE,TN,37135
151,1510A2  10TH AVE N,NASHVILLE,TN,37208
152,90  WHITE BRIDGE PIKE,NASHVILLE,TN,37205
153,5204  TUPELO ST,ANTIOCH,TN,37013
154,5212  TUPELO ST,ANTIOCH,TN,37013
155,624  WALLACE CT,NASHVILLE,TN,37211
156,5200  TUPELO ST,ANTIOCH,TN,37013
157,900  BRITTANY PARK DR,NASHVILLE,TN,37013
158,1337  DUNS LN,NOLENSVILLE,TN,37135
159,5206  TUPELO ST,ANTIOCH,TN,37013
160,1341  DUNS LN,NOLENSVILLE,TN,37135
161,5210  TUPELO ST,ANTIOCH,TN,37013
162,2224  CAREFREE LN,ANTIOCH,TN,37013
163,5008  RIVERBANK DR,HERMITAGE,TN,37076
164,757  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
165,1321  DUNS LN,NOLENSVILLE,TN,37135
166,605  WALLACE CT,NASHVILLE,TN,37211
167,5208  TUPELO ST,ANTIOCH,TN,37013
168,758  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
169,1716B2  MCKINNEY AVE,NASHVILLE,TN,37208
170,761  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
171,762  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
172,765  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
173,759  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
174,1317  DUNS LN,NOLENSVILLE,TN,37135
175,900  BRITTANY PARK DR,NASHVILLE,TN,37013
176,3213  LONGSTALK RD,ANTIOCH,TN,37013
177,760  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
178,756  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
179,764  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
180,763  BRADBURN VILLAGE WAY,ANTIOCH,TN,37013
